"id"|"description"|"possible_year"|"all_digits_pieces_from_text"|"description_digits_removed"|"desc_without_puct"|"short_words_removed"
"1"|0|"semantic integration of environmental models for application to global information systems and decision-making d. scott mackay,,sigmod record,1999"|"1999"|1|"semantic integration of environmental models for application to global information systems and decision-making d. scott mackay,,sigmod record,    "|"semantic integration of environmental models for application to global information systems and decision making d scott mackay sigmod record"|"semantic integration environmental models for application global information systems and decision making scott mackay sigmod record"
"2"|1|"estimation of query-result distribution and its application in parallel-join load balancing vldb 1996,\"viswanath poosala , yannis e. ioannidis\",,"|"1996"|1|"estimation of query-result distribution and its application in parallel-join load balancing vldb     ,\"viswanath poosala , yannis e. ioannidis\",,"|"estimation of query result distribution and its application in parallel join load balancing vldb viswanath poosala yannis e ioannidis"|"estimation query result distribution and its application parallel join load balancing vldb viswanath poosala yannis ioannidis"
"3"|2|"incremental maintenance for non-distributive aggregate functions vldb 2002,\"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane\",,"|"2002"|1|"incremental maintenance for non-distributive aggregate functions vldb     ,\"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane\",,"|"incremental maintenance for non distributive aggregate functions vldb themistoklis palpanas richard sidle hamid pirahesh roberta cochrane"|"incremental maintenance for non distributive aggregate functions vldb themistoklis palpanas richard sidle hamid pirahesh roberta cochrane"
"4"|3|"\"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996\",,,"|"1996"|1|"\"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb     \",,,"|"cost based selection of path expression processing algorithms in object oriented databases zhao hui tang georges gardarin jean robert gruser vldb"|"cost based selection path expression processing algorithms object oriented databases zhao hui tang georges gardarin jean robert gruser vldb"
"5"|4|"\"benchmarking spatial join operations with spatial output erik g. hoel , hanan samet 1995\",,vldb,"|"1995"|1|"\"benchmarking spatial join operations with spatial output erik g. hoel , hanan samet     \",,vldb,"|"benchmarking spatial join operations with spatial output erik g hoel hanan samet vldb"|"benchmarking spatial join operations with spatial output erik hoel hanan samet vldb"
"6"|5|"efficient geometry-based similarity search of 3d spatial databases daniel a. keim sigmod conference,,,1999"|"3|1999"|2|"efficient geometry-based similarity search of  d spatial databases daniel a. keim sigmod conference,,,    "|"efficient geometry based similarity search of d spatial databases daniel a keim sigmod conference"|"efficient geometry based similarity search spatial databases daniel keim sigmod conference"
"7"|6|"mining the world wide web : an information search approach - book review aris m. ouksel sigmod record 2002,,,"|"2002"|1|"mining the world wide web : an information search approach - book review aris m. ouksel sigmod record     ,,,"|"mining the world wide web an information search approach book review aris m ouksel sigmod record"|"mining the world wide web information search approach book review aris ouksel sigmod record"
"8"|7|"enhanced abstract data types in object-relational databases vldb j. 1998,praveen seshadri,,"|"1998"|1|"enhanced abstract data types in object-relational databases vldb j.     ,praveen seshadri,,"|"enhanced abstract data types in object relational databases vldb j praveen seshadri"|"enhanced abstract data types object relational databases vldb praveen seshadri"
"9"|8|"\"report on dart ' 96 : databases : active and real-time ( concepts meet practice ) nandit soparkar , krithi ramamritham sigmod record 1997\",,,"|"96|1997"|2|"\"report on dart '    : databases : active and real-time ( concepts meet practice ) nandit soparkar , krithi ramamritham sigmod record     \",,,"|"report on dart databases active and real time concepts meet practice nandit soparkar krithi ramamritham sigmod record"|"report dart databases active and real time concepts meet practice nandit soparkar krithi ramamritham sigmod record"
"10"|9|"unisql 's next-generation object-relational database management system sigmod record,\"phil janus , albert d'andrea\",,1996"|"1996"|1|"unisql 's next-generation object-relational database management system sigmod record,\"phil janus , albert d'andrea\",,    "|"unisql s next generation object relational database management system sigmod record phil janus albert d andrea"|"unisql next generation object relational database management system sigmod record phil janus albert andrea"
"11"|10|"dual-buffering strategies in object bases 1994,\"alfons kemper , donald kossmann\",vldb,"|"1994"|1|"dual-buffering strategies in object bases     ,\"alfons kemper , donald kossmann\",vldb,"|"dual buffering strategies in object bases alfons kemper donald kossmann vldb"|"dual buffering strategies object bases alfons kemper donald kossmann vldb"
"12"|11|"\"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur √ßetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun\",,sigmod conference,2003"|"2003"|1|"\"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur √ßetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun\",,sigmod conference,    "|"aurora a data stream management system nesime tatbul daniel j abadi c erwin anurag maskey mitch cherniack alex rasin christian convey a singer eduardo f galvez r yan ugur √ etintemel ying xing stanley b zdonik michael stonebraker donald carney m hatoun sigmod conference"|"aurora data stream management system nesime tatbul daniel abadi erwin anurag maskey mitch cherniack alex rasin christian convey singer eduardo galvez yan ugur etintemel ying xing stanley zdonik michael stonebraker donald carney hatoun sigmod conference"
"13"|12|"priority assignment in real-time active databases,\"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley\",vldb j.,1996"|"1996"|1|"priority assignment in real-time active databases,\"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley\",vldb j.,    "|"priority assignment in real time active databases rajendran m sivasankaran bhaskar purimetla john a stankovic krithi ramamritham donald f towsley vldb j"|"priority assignment real time active databases rajendran sivasankaran bhaskar purimetla john stankovic krithi ramamritham donald towsley vldb"
"14"|13|"\"wavecluster : a wavelet based clustering approach for spatial data in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.\",,,2000"|"2000"|1|"\"wavecluster : a wavelet based clustering approach for spatial data in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.\",,,    "|"wavecluster a wavelet based clustering approach for spatial data in very large databases surojit chatterjee gholamhosein sheikholeslami aidong zhang vldb j"|"wavecluster wavelet based clustering approach for spatial data very large databases surojit chatterjee gholamhosein sheikholeslami aidong zhang vldb"
"15"|14|"\"approximate query mapping : accounting for translation closeness hector garcia-molina , kevin chen-chuan chang 2001\",,vldb j.,"|"2001"|1|"\"approximate query mapping : accounting for translation closeness hector garcia-molina , kevin chen-chuan chang     \",,vldb j.,"|"approximate query mapping accounting for translation closeness hector garcia molina kevin chen chuan chang vldb j"|"approximate query mapping accounting for translation closeness hector garcia molina kevin chen chuan chang vldb"
"16"|15|"sprint : a scalable parallel classifier for data mining,\"john c. shafer , rakesh agrawal , manish mehta\",vldb,1996"|"1996"|1|"sprint : a scalable parallel classifier for data mining,\"john c. shafer , rakesh agrawal , manish mehta\",vldb,    "|"sprint a scalable parallel classifier for data mining john c shafer rakesh agrawal manish mehta vldb"|"sprint scalable parallel classifier for data mining john shafer rakesh agrawal manish mehta vldb"
"17"|16|"snowball : a prototype system for extracting relations from large text collections sigmod conference,\"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova\",,2001"|"2001"|1|"snowball : a prototype system for extracting relations from large text collections sigmod conference,\"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova\",,    "|"snowball a prototype system for extracting relations from large text collections sigmod conference jeff pavel luis gravano aleksandr voskoboynik eugene agichtein viktoriya sokolova"|"snowball prototype system for extracting relations from large text collections sigmod conference jeff pavel luis gravano aleksandr voskoboynik eugene agichtein viktoriya sokolova"
"18"|17|"a framework for implementing hypothetical queries sigmod conference 1997,\"timothy griffin , richard hull\",,"|"1997"|1|"a framework for implementing hypothetical queries sigmod conference     ,\"timothy griffin , richard hull\",,"|"a framework for implementing hypothetical queries sigmod conference timothy griffin richard hull"|"framework for implementing hypothetical queries sigmod conference timothy griffin richard hull"
"19"|18|"parametric query optimization vldb j. 1997,\"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim\",,"|"1997"|1|"parametric query optimization vldb j.     ,\"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim\",,"|"parametric query optimization vldb j raymond t ng timos k sellis yannis e ioannidis kyuseok shim"|"parametric query optimization vldb raymond timos sellis yannis ioannidis kyuseok shim"
"20"|19|"lineage tracing for general data warehouse transformations,\"yingwei cui , jennifer widom\",vldb,2001"|"2001"|1|"lineage tracing for general data warehouse transformations,\"yingwei cui , jennifer widom\",vldb,    "|"lineage tracing for general data warehouse transformations yingwei cui jennifer widom vldb"|"lineage tracing for general data warehouse transformations yingwei cui jennifer widom vldb"
"21"|20|"report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002,,,"|"2001|2002"|2|"report on the acm fourth international workshop on data warehousing and olap ( dolap      ) joachim hammer sigmod record     ,,,"|"report on the acm fourth international workshop on data warehousing and olap dolap joachim hammer sigmod record"|"report the acm fourth international workshop data warehousing and olap dolap joachim hammer sigmod record"
"22"|21|"approximating aggregate queries about web pages via random walks vldb 2000,\"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz\",,"|"2000"|1|"approximating aggregate queries about web pages via random walks vldb     ,\"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz\",,"|"approximating aggregate queries about web pages via random walks vldb jittat fakcharoenphol steve chien ziv bar yossef alexander berg dror weitz"|"approximating aggregate queries about web pages via random walks vldb jittat fakcharoenphol steve chien ziv bar yossef alexander berg dror weitz"
"23"|22|"\"a query language for a web-site management system dan suciu , daniela florescu , alon y. levy , mary f. fernandez 1997\",,sigmod record,"|"1997"|1|"\"a query language for a web-site management system dan suciu , daniela florescu , alon y. levy , mary f. fernandez     \",,sigmod record,"|"a query language for a web site management system dan suciu daniela florescu alon y levy mary f fernandez sigmod record"|"query language for web site management system dan suciu daniela florescu alon levy mary fernandez sigmod record"
"24"|23|"supporting periodic authorizations and temporal reasoning in database access control 1996,\"elena ferrari , pierangela samarati , claudio bettini , elisa bertino\",vldb,"|"1996"|1|"supporting periodic authorizations and temporal reasoning in database access control     ,\"elena ferrari , pierangela samarati , claudio bettini , elisa bertino\",vldb,"|"supporting periodic authorizations and temporal reasoning in database access control elena ferrari pierangela samarati claudio bettini elisa bertino vldb"|"supporting periodic authorizations and temporal reasoning database access control elena ferrari pierangela samarati claudio bettini elisa bertino vldb"
"25"|24|"\"free parallel data mining bin li , dennis shasha sigmod conference 1998\",,,"|"1998"|1|"\"free parallel data mining bin li , dennis shasha sigmod conference     \",,,"|"free parallel data mining bin li dennis shasha sigmod conference"|"free parallel data mining bin dennis shasha sigmod conference"
