"id"|"description"|"possible_year"|"all_digits_pieces_from_text"|"description_digits_removed"|"desc_without_puct"|"short_words_removed"
"1"|0|"the wasa2 object-oriented workflow management system 1999,\"gottfried vossen , mathias weske\",international conference on management of data,"|"2|1999"|2|"the wasa  object-oriented workflow management system     ,\"gottfried vossen , mathias weske\",international conference on management of data,"|"the wasa object oriented workflow management system gottfried vossen mathias weske international conference on management of data"|"the wasa object oriented workflow management system gottfried vossen mathias weske international conference management data"
"2"|1|"a user-centered interface for querying distributed multimedia databases,\"isabel f. cruz , kimberly m. james\",international conference on management of data,1999"|"1999"|1|"a user-centered interface for querying distributed multimedia databases,\"isabel f. cruz , kimberly m. james\",international conference on management of data,    "|"a user centered interface for querying distributed multimedia databases isabel f cruz kimberly m james international conference on management of data"|"user centered interface for querying distributed multimedia databases isabel cruz kimberly james international conference management data"
"3"|2|"\"world wide database-integrating the web , corba and databases international conference on management of data 1999\",\"athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani\",,"|"1999"|1|"\"world wide database-integrating the web , corba and databases international conference on management of data     \",\"athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani\",,"|"world wide database integrating the web corba and databases international conference on management of data athman bouguettaya boualem benatallah lily hendra james beard kevin smith mourad quzzani"|"world wide database integrating the web corba and databases international conference management data athman bouguettaya boualem benatallah lily hendra james beard kevin smith mourad quzzani"
"4"|3|"xml-based information mediation with mix international conference on management of data 1999,\"chaitan baru , amarnath gupta , bertram lud &#228; scher , richard marciano , yannis papakonstantinou , pavel velikhov , vincent chu\",,"|"1999|228"|2|"xml-based information mediation with mix international conference on management of data     ,\"chaitan baru , amarnath gupta , bertram lud &#   ; scher , richard marciano , yannis papakonstantinou , pavel velikhov , vincent chu\",,"|"xml based information mediation with mix international conference on management of data chaitan baru amarnath gupta bertram lud scher richard marciano yannis papakonstantinou pavel velikhov vincent chu"|"xml based information mediation with mix international conference management data chaitan baru amarnath gupta bertram lud scher richard marciano yannis papakonstantinou pavel velikhov vincent chu"
"5"|4|"\"the ccube constraint object-oriented database system alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo 1999\",,international conference on management of data,"|"1999"|1|"\"the ccube constraint object-oriented database system alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo     \",,international conference on management of data,"|"the ccube constraint object oriented database system alexander brodsky victor e segal jia chen paval a exarkhopoulo international conference on management of data"|"the ccube constraint object oriented database system alexander brodsky victor segal jia chen paval exarkhopoulo international conference management data"
"6"|5|"the cornell jaguar project : adding mobility to predator,\"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu\",international conference on management of data,1999"|"1999"|1|"the cornell jaguar project : adding mobility to predator,\"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu\",international conference on management of data,    "|"the cornell jaguar project adding mobility to predator phillippe bonnet kyle buza zhiyuan chan victor cheng randolph chung takako hickey ryan kennedy daniel mahashin tobias mayr ivan oprencak praveen seshadri hubert siu international conference on management of data"|"the cornell jaguar project adding mobility predator phillippe bonnet kyle buza zhiyuan chan victor cheng randolph chung takako hickey ryan kennedy daniel mahashin tobias mayr ivan oprencak praveen seshadri hubert siu international conference management data"
"7"|6|"\"the active multisync controller of the cubetree storage organization nick roussopoulos , yannis kotidis , yannis sismanis 1999\",,international conference on management of data,"|"1999"|1|"\"the active multisync controller of the cubetree storage organization nick roussopoulos , yannis kotidis , yannis sismanis     \",,international conference on management of data,"|"the active multisync controller of the cubetree storage organization nick roussopoulos yannis kotidis yannis sismanis international conference on management of data"|"the active multisync controller the cubetree storage organization nick roussopoulos yannis kotidis yannis sismanis international conference management data"
"8"|7|"\"the jungle database search engine michael b &#246; hlen , linas bukauskas , curtis dyreson\",,international conference on management of data,1999"|"246|1999"|2|"\"the jungle database search engine michael b &#   ; hlen , linas bukauskas , curtis dyreson\",,international conference on management of data,    "|"the jungle database search engine michael b hlen linas bukauskas curtis dyreson international conference on management of data"|"the jungle database search engine michael hlen linas bukauskas curtis dyreson international conference management data"
"9"|8|"adept : an agent-based approach to business process management acm sigmod record,\"n. r. jennings , t. j. norman , p. faratin\",,1998"|"1998"|1|"adept : an agent-based approach to business process management acm sigmod record,\"n. r. jennings , t. j. norman , p. faratin\",,    "|"adept an agent based approach to business process management acm sigmod record n r jennings t j norman p faratin"|"adept agent based approach business process management acm sigmod record jennings norman faratin"
"10"|9|"a componentized architecture for dynamic electronic markets acm sigmod record 1998,\"benny reich , israel ben-shaul\",,"|"1998"|1|"a componentized architecture for dynamic electronic markets acm sigmod record     ,\"benny reich , israel ben-shaul\",,"|"a componentized architecture for dynamic electronic markets acm sigmod record benny reich israel ben shaul"|"componentized architecture for dynamic electronic markets acm sigmod record benny reich israel ben shaul"
