label|ltable_id|rtable_id|possible_year.x|possible_year.y|short_words_removed.x|short_words_removed.y|fuzzy_similarity|fuzzy_similarity_sorted_tokens|fuzzy_similarity_partial_ratio|len_tokens_x|len_tokens_y|len_common_tokens|common_to_smaller_ratio|common_to_longer_ratio
|141|2211|1994|1994|query optimization predicate move around inderpal singh mumick alon levy yehoshua sagiv vldb|including group query optimization surajit chaudhuri kyuseok shim very large data bases|44|45|44|15|14|3|0.21428571428571427|0.2
|1074|1849|2002|1997|database technologies for electronic commerce yirong ramakrishnan srikant rakesh agrawal vldb|databases the web technologies for federation architectures and case studies ralf kramer international conference management data|50|50|53|12|18|2|0.16666666666666666|0.1111111111111111
|1367|1815|1997|1997|efficiently supporting hoc queries large datasets time sequences sigmod conference jagadish christos faloutsos flip korn|efficiently supporting hoc queries large datasets time sequences international conference management data flip korn jagadish christos faloutsos|81|85|80|20|23|19|0.95|0.8260869565217391
|933|1153|1997|1997|outerjoin simplification and reordering for query optimization sar galindo legaria arnon rosenthal acm trans database syst|heuristic and randomized optimization for the join ordering problem michael steinbrunn guido moerkotte alfons kemper the vldb journal the international journal very large data bases|46|45|46|18|23|3|0.16666666666666666|0.13043478260869565
|2282|306|2003|2001|robust estimation with sampling and approximate pre aggregation chris jermaine vldb|robust optimization based approach for approximate answering aggregate queries surajit chaudhuri gautam das vivek narasayya international conference management data|46|49|59|11|22|2|0.18181818181818182|0.09090909090909091
|1471|1182|1998|1998|evaluating functional joins along nested reference sets object relational and object oriented databases vldb alfons kemper reinhard braumandl jens clauÃen|garbage collection object oriented databases using transactional cyclic reference counting the vldb journal the international journal very large data bases roy seshadri silberschatz sudarshan ashwin|47|54|49|20|28|6|0.3|0.21428571428571427
|2129|583|1995|1994|promises and realities active database systems eric simon angelika kotz dittrich vldb|special issue prototypes deductive database systems ramamohanarao the vldb journal the international journal very large data bases|51|47|60|13|18|4|0.3076923076923077|0.2222222222222222
|634|485|1999|1999|diluting acid peter thanisch colin stirling tim kempster sigmod record|diluting acid acm sigmod record tim kempster colin stirling peter thanisch|60|97|59|10|11|10|1.0|0.9090909090909091
|1788|1035|2003|"223|1997"|supporting top join queries relational databases walid aref ahmed elmagarmid ihab ilyas vldb|optimizing queries with universal quantification object oriented and object relational databases jens clau alfons kemper guido moerkotte klaus peithner very large data bases|46|45|50|17|24|4|0.23529411764705882|0.16666666666666666
|1803|705|2002|2002|gea toolkit for gene expression analysis jessica phan raymond sigmod conference|gea toolkit for gene expression analysis jessica phan raymond international conference management data|81|78|88|15|18|13|0.8666666666666667|0.7222222222222222
|233|1557|1995|1995|structured approach for the definition the semantics active databases acm trans database syst letizia tanca piero fraternali|structured approach for the definition the semantics active databases piero fraternali letizia tanca acm transactions database systems tods|74|94|79|18|20|16|0.8888888888888888|0.8
|593|991|1994|1998|database issues telecommunications network management ilsoo ahn sigmod conference|database system for real time event aggregation telecommunication jerry baulier stephen blott henry korth abraham silberschatz very large data bases|47|44|52|10|23|2|0.2|0.08695652173913043
|968|526|2001|2002|reminiscences influential papers sigmod record james hamilton limsoon wong kenneth ross laks lakshmanan|influential papers ken ross acm sigmod record|42|55|71|18|7|5|0.7142857142857143|0.2777777777777778
|1325|743|1994|"15|2001|246|2002"|towards infrastructure for temporal databases report invitational arpa nsf workshop ramez elmasri richard snodgrass babis theodoulidis inderpal singh mumick arie segev tamer zsu umeshwar dayal niki pissinou barbara pernici sigmod record|building infrastructure for mobile and wireless systems report the nsf workshop infrastructure for mobile and wireless systems oct birgitta nig ries kia makki sam makki charles perkins niki pissinou peter reiher peter scheuermann jari veijalainen ouri wolfson acm sigmod record|51|53|51|36|35|10|0.2857142857142857|0.2777777777777778
|1879|445|2001|2000|locally adaptive dimensionality reduction for indexing large time series databases kaushik chakrabarti sharad mehrotra eamonn keogh michael pazzani sigmod conference|efficient and cost effective techniques for browsing and indexing large video databases junghwan kien hua international conference management data|47|50|48|21|22|5|0.23809523809523808|0.22727272727272727
|725|1912|"7|5|1999"|1997|microsoft english query automatic extraction semantics from relational databases and olap cubes adam blum vldb|extraction object oriented structures from existing relational databases acm sigmod record shekar ramanathan julia hodges|50|55|50|16|16|5|0.3125|0.3125
|1010|120|1996|1999|spotfire information exploration environment sigmod record christopher ahlberg|dynamic service matchmaking among agents open information environments acm sigmod record katia sycara matthias klusch seth widoff jianguo|51|49|62|9|20|3|0.3333333333333333|0.15
|325|1179|1997|1998|the case for enhanced abstract data types raghu ramakrishnan miron livny praveen seshadri vldb|enhanced abstract data types object relational databases praveen seshadri the vldb journal the international journal very large data bases|50|61|62|14|18|8|0.5714285714285714|0.4444444444444444
|1723|1336|"2|2001"|"2|2001"|leo learning optimizer volker markl mokhtar kandil guy lohman michael stillger vldb|leo learning optimizer michael stillger guy lohman volker markl mokhtar kandil very large data bases|66|88|64|15|18|14|0.9333333333333333|0.7777777777777778
|525|1675|1995|"233|1994"|tigukat uniform behavioral objectbase management system randal peters tamer zsu boman irani adriana muÃ anna lipka duane szafron vldb|open object database management systems international conference management data jos blakeley|49|46|56|24|13|2|0.15384615384615385|0.08333333333333333
|106|785|1999|1999|performance measurements compressed bitmap indices theodore johnson vldb|performance measurements compressed bitmap indices theodore johnson very large data bases|90|86|96|9|12|8|0.8888888888888888|0.6666666666666666
|1480|48|2002|1999|distributed query evaluation semistructured data dan suciu acm trans database syst|storing semistructured data with stored alin deutsch mary fernandez dan suciu international conference management data|45|55|47|12|16|5|0.4166666666666667|0.3125
|1968|688|2000|2002|unql query language and algebra for semistructured data based structural recursion mary fernandez peter buneman dan suciu vldb|qursed querying and reporting semistructured data international conference management data yannis papakonstantinou michalis petropoulos vasilis vassalos|50|50|52|22|17|4|0.23529411764705882|0.18181818181818182
|1304|1182|1995|1998|accessing relational database through object oriented database interface vldb jack orenstein kamber|garbage collection object oriented databases using transactional cyclic reference counting the vldb journal the international journal very large data bases roy seshadri silberschatz sudarshan ashwin|41|49|52|15|28|4|0.26666666666666666|0.14285714285714285
|2510|865|1997|2000|sting statistical information grid approach spatial data mining wei wang richard muntz jiong yang vldb|case based approach information integration very large data bases maurizio panti luca spalazzi alberto giretti|43|54|44|18|17|5|0.29411764705882354|0.2777777777777778
|1617|739|1995|2002|versant replication supporting fault tolerant object databases stephen yeung chou yuh ming shyy sigmod conference|phoenix project fault tolerant applications roger barga david lomet acm sigmod record|46|45|47|19|12|3|0.25|0.15789473684210525
|1832|1772|2002|1997|advances databases and information systems adbis albertas caplinskas johann eder olegas vasilecas sigmod record|the database and information system research group the university ulm peter dadam wolfgang klas acm sigmod record|60|57|59|15|18|4|0.26666666666666666|0.2222222222222222
|1906|108|2001|1999|similarity search for adaptive ellipsoid queries using spatial transformation yasushi sakurai shunsuke uemura masatoshi yoshikawa ryoji kataoka vldb|indexing large metric spaces for similarity search queries tolga bozkaya meral ozsoyoglu acm transactions database systems tods|43|45|44|18|18|4|0.2222222222222222|0.2222222222222222
|1872|1155|1997|1997|the tree multi attribute index supporting concurrency recovery and node consolidation betty salzberg david lomet georgios evangelidis vldb|concurrency and recovery for index trees david lomet betty salzberg the vldb journal the international journal very large data bases|46|62|49|23|19|10|0.5263157894736842|0.43478260869565216
|538|215|1996|1999|new sql like operator for mining association rules giuseppe psaila stefano ceri rosa meo vldb|online association rule mining international conference management data christian hidber|48|47|49|16|12|2|0.16666666666666666|0.125
|1285|1675|1995|"233|1994"|efficient incremental garbage collection for client server object database systems laurent amsaleg olivier gruber michael franklin vldb|open object database management systems international conference management data jos blakeley|40|51|48|18|13|3|0.23076923076923078|0.16666666666666666
